Iteracao;ValorObjetivo;Peso
1;40;0
2;80;0
3;108;15
4;108;0
5;192;24
6;192;6
7;192;57
8;210;69
9;259;132
10;278;102
11;276;82
12;276;110
13;288;121
14;259;133
15;267;166
16;264;157
17;280;122
18;280;126
19;289;101
20;308;126
21;304;152
22;330;205
23;307;135
24;308;189
25;308;227
26;330;226
27;311;165
28;305;218
29;329;245
30;349;249
31;328;192
32;324;321
33;344;175
34;363;281
35;361;268
36;369;281
37;369;298
38;359;266
39;373;338
40;379;315
41;366;300
42;376;255
43;376;313
44;380;390
45;354;313
46;371;369
47;369;246
48;362;316
49;368;225
50;390;434
51;380;316
52;422;446
53;429;283
54;429;377
55;388;378
56;382;240
57;382;362
58;406;310
59;411;314
60;394;312
61;390;266
62;400;440
63;387;362
64;390;310
65;406;355
66;406;393
67;406;397
68;422;408
69;422;418
70;419;293
71;427;287
72;434;376
73;399;342
74;423;288
75;430;374
76;430;410
77;415;404
78;423;417
79;415;440
80;424;390
81;425;375
82;422;378
83;428;358
84;437;410
85;425;413
86;445;393
87;445;371
88;427;407
89;422;429
90;441;395
91;436;375
92;436;354
93;448;392
94;441;433
95;441;384
96;441;429
97;441;364
98;460;447
99;437;464
100;435;431
101;444;457
102;444;435
103;437;390
104;442;448
105;444;407
106;444;419
107;444;408
108;441;378
109;453;507
110;452;410
111;452;429
112;453;476
113;453;403
114;438;443
115;453;440
116;453;436
117;453;399
118;453;410
119;456;425
120;456;372
121;456;431
122;456;394
123;462;398
124;456;437
125;480;433
126;462;458
127;456;418
128;448;403
129;465;459
130;465;462
131;497;411
132;497;456
133;497;470
134;486;429
135;486;418
136;485;453
137;491;453
138;494;424
139;489;413
140;480;382
141;494;382
142;480;491
143;480;464
144;470;385
145;481;483
146;480;425
147;489;434
148;489;507
149;480;512
150;480;479
151;480;514
152;480;474
153;493;415
154;489;499
155;480;430
156;480;438
157;491;439
158;491;479
159;491;426
160;484;457
161;491;518
162;486;502
163;486;445
164;485;411
165;483;467
166;499;449
167;486;450
168;486;469
169;492;476
170;492;456
171;501;469
172;480;455
173;499;499
174;499;510
175;499;454
176;499;474
177;499;469
178;499;527
179;500;506
180;504;467
181;499;559
182;497;521
183;499;457
184;484;467
185;502;481
186;512;543
187;491;465
188;491;551
189;500;421
190;499;481
191;491;450
192;491;456
193;500;508
194;500;478
195;504;507
196;500;543
197;508;551
198;513;491
199;519;453
200;517;484
201;511;474
202;513;473
203;510;445
204;518;433
205;509;501
206;530;462
207;531;489
208;531;457
209;530;527
210;530;468
211;527;490
212;528;453
213;528;501
214;528;507
215;524;475
216;524;535
217;527;509
218;543;586
219;543;469
220;543;467
221;548;505
222;553;471
223;548;471
224;537;531
225;546;477
226;544;509
227;532;455
228;548;495
229;558;540
230;544;499
231;572;517
232;572;539
233;563;525
234;550;491
235;550;544
236;541;532
237;533;521
238;533;528
239;561;528
240;539;493
241;556;464
242;556;493
243;545;507
244;545;435
245;545;543
246;552;554
247;537;540
248;547;471
249;551;505
250;544;556
251;548;526
252;548;470
253;552;475
254;554;537
255;552;474
256;546;476
257;552;529
258;554;499
259;559;490
260;549;510
261;550;499
262;550;517
263;554;531
264;557;492
265;549;471
266;558;529
267;550;609
268;550;489
269;552;532
270;566;501
271;561;479
272;582;454
273;582;552
274;582;476
275;582;502
276;566;473
277;568;573
278;599;505
279;599;585
280;599;497
281;568;503
282;585;609
283;585;574
284;585;525
285;600;508
286;585;526
287;605;520
288;596;539
289;587;580
290;571;531
291;593;557
292;593;660
293;592;475
294;591;559
295;592;564
296;591;496
297;591;502
298;594;507
299;577;507
300;587;532
301;582;546
302;594;578
303;594;516
304;600;550
305;592;513
306;600;485
307;600;556
308;600;505
309;600;549
310;600;541
311;588;549
312;590;553
313;600;632
314;587;556
315;587;567
316;594;503
317;579;521
318;579;571
319;579;591
320;586;560
321;600;594
322;594;533
323;594;582
324;600;555
325;600;598
326;600;583
327;600;567
328;586;547
329;600;608
330;600;618
331;600;578
332;600;552
333;600;533
334;600;557
335;600;561
336;600;581
337;600;598
338;600;570
339;600;605
340;600;544
341;600;553
342;603;583
343;603;525
344;600;571
345;600;569
346;603;580
347;603;598
348;600;551
349;603;564
350;603;570
351;606;624
352;603;552
353;606;599
354;606;568
355;603;555
356;603;599
357;605;546
358;603;608
359;603;616
360;603;584
361;603;633
362;603;550
363;603;552
364;603;579
365;603;621
366;615;584
367;603;593
368;603;549
369;603;525
370;603;597
371;603;616
372;603;530
373;603;607
374;603;641
375;603;570
376;603;621
377;603;599
378;603;590
379;610;552
380;603;574
381;603;552
382;603;548
383;610;552
384;603;554
385;603;595
386;603;573
387;603;517
388;603;586
389;603;624
